x position,y position
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.13
-0.00767539282936891,0.2577696691117062
-0.022759130947772755,0.3828635572292933
-0.04495879805257496,0.5048601751350204
-0.07395851847668539,0.623363408066968
-0.10942094327604615,0.7380037867620407
-0.15098930280250678,0.848439611956037
-0.19828951535741693,0.9543579290322648
-0.250932341369146,1.0554753502291032
-0.30851557243429467,1.1515387225418516
-0.3706262445077486,1.2423256401819163
-0.4368428645208795,1.3276448011836317
-0.5067376397498556,1.4073362084725667
-0.5798786993466983,1.4812712164258435
-0.655832297583726,1.5493524246616568
-0.7341649885464743,1.6115134214887232
-0.8144457622399721,1.667718380123824
-0.896248132347111,1.7179615114439823
-0.9791521661942961,1.7622663776763139
-1.0627464478369575,1.8006850720404828
-1.1466299655740078,1.8332972699433834
-1.230413915633973,1.8602091578806728
-1.3137234142441439,1.8815522467227768
-1.3961991107954221,1.8974820765517948
-1.4774986953471405,1.9081768206683227
-1.557298294275465,1.913835796801739
-1.6352937484534023,1.9146778939322837
-1.7112017689571621,1.9109399234668067
-1.7847609659198198,1.9028749038010562
-1.8557327467959797,1.8907502875487225
