pwm left,pwm right,srf left,srf right
43.0,43.0,47.0,46.0
42.0,42.0,46.0,45.0
41.0,41.0,44.0,43.0
40.0,40.0,42.0,41.0
39.0,39.0,40.0,40.0
38.0,38.0,37.0,16.0
37.0,37.0,36.0,18.0
36.0,36.0,35.0,34.0
35.0,35.0,33.0,32.0
34.0,34.0,31.0,30.0
33.0,33.0,30.0,29.0
32.0,32.0,28.0,28.0
31.0,31.0,28.0,26.0
30.0,30.0,26.0,24.0
29.0,29.0,25.0,23.0
28.0,28.0,24.0,22.0
27.0,27.0,23.0,21.0
26.0,26.0,21.0,21.0
25.0,25.0,20.0,21.0
24.0,24.0,20.0,19.0
23.0,23.0,19.0,18.0
22.0,22.0,18.0,17.0
21.0,21.0,18.0,17.0
20.0,20.0,18.0,16.0
19.0,19.0,19.0,16.0
18.0,18.0,17.0,15.0
17.0,17.0,16.0,15.0
16.0,16.0,17.0,14.0
15.0,15.0,15.0,15.0
14.0,14.0,15.0,15.0
13.0,13.0,15.0,15.0
12.0,12.0,29.0,16.0
11.0,11.0,17.0,14.0
-10.0,-10.0,16.0,16.0
-11.0,-11.0,30.0,14.0
-12.0,-12.0,31.0,14.0
-13.0,-13.0,31.0,14.0
-14.0,-14.0,31.0,15.0
-15.0,-15.0,31.0,14.0
-16.0,-16.0,31.0,15.0
-17.0,-17.0,32.0,14.0
-18.0,-18.0,31.0,15.0
-19.0,-19.0,32.0,15.0
-20.0,-20.0,31.0,15.0
-21.0,-21.0,32.0,15.0
-22.0,-22.0,32.0,15.0
-23.0,-23.0,32.0,15.0
-24.0,-24.0,33.0,15.0
-25.0,-25.0,32.0,15.0
-26.0,-26.0,32.0,16.0
-27.0,-27.0,99.0,15.0
-28.0,-28.0,99.0,15.0
-29.0,-29.0,99.0,15.0
-30.0,-30.0,32.0,15.0
-31.0,-31.0,99.0,15.0
-32.0,-32.0,98.0,15.0
-33.0,-33.0,99.0,15.0
-34.0,-34.0,33.0,15.0
-35.0,-35.0,99.0,15.0
-36.0,-36.0,99.0,15.0
-37.0,-37.0,32.0,16.0
-38.0,-38.0,54.0,15.0
-39.0,-39.0,30.0,16.0
-40.0,-40.0,25.0,16.0
-41.0,-41.0,46.0,15.0
-42.0,-42.0,100.0,15.0
-43.0,-43.0,100.0,15.0
-44.0,-44.0,101.0,15.0
-45.0,-45.0,103.0,17.0
-46.0,-46.0,20.0,18.0
-47.0,-47.0,21.0,18.0
-48.0,-48.0,21.0,19.0
-49.0,-49.0,23.0,21.0
-50.0,-50.0,24.0,22.0
-51.0,-51.0,26.0,23.0
-52.0,-52.0,27.0,25.0
-53.0,-53.0,29.0,26.0
-54.0,-54.0,31.0,27.0
-55.0,-55.0,32.0,29.0
-56.0,-56.0,34.0,31.0
-57.0,-57.0,37.0,32.0
-58.0,-58.0,38.0,35.0
-59.0,-59.0,40.0,37.0
-60.0,-60.0,43.0,40.0
-61.0,-61.0,44.0,42.0
-62.0,-62.0,47.0,44.0
-63.0,-63.0,49.0,46.0
-64.0,-64.0,51.0,48.0
-65.0,-65.0,53.0,50.0
-66.0,-66.0,55.0,52.0
-67.0,-67.0,57.0,54.0
-68.0,-68.0,60.0,56.0
-69.0,-69.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
